county_id,county_name,2012,2016,2017,2018,2019,2020
200,Runnels,0.038,0.04,0.037,0.031,0.028,0.049
201,Rusk,0.051,0.058,0.051,0.041,0.036,0.073
202,Sabine,0.086,0.094,0.086,0.08,0.066,0.108
203,San Augustine,0.075,0.089,0.075,0.065,0.047,0.096
204,San Jacinto,0.056,0.063,0.057,0.05,0.046,0.081
205,San Patricio,0.076,0.075,0.077,0.064,0.055,0.103
206,San Saba,0.032,0.034,0.032,0.031,0.029,0.052
207,Schleicher,0.037,0.052,0.037,0.028,0.028,0.069
208,Scurry,0.044,0.059,0.044,0.034,0.032,0.082
209,Shackelford,0.03,0.038,0.03,0.023,0.022,0.053
210,Shelby,0.051,0.06,0.052,0.043,0.039,0.068
211,Sherman,0.031,0.03,0.031,0.026,0.023,0.031
212,Smith,0.041,0.045,0.041,0.037,0.033,0.068
213,Somervell,0.045,0.048,0.046,0.041,0.036,0.065
214,Starr,0.117,0.134,0.118,0.102,0.099,0.173
215,Stephens,0.047,0.053,0.046,0.036,0.03,0.061
216,Sterling,0.038,0.039,0.037,0.034,0.031,0.064
217,Stonewall,0.034,0.044,0.036,0.034,0.029,0.05
218,Sutton,0.051,0.08,0.051,0.038,0.037,0.098
219,Swisher,0.041,0.043,0.041,0.043,0.036,0.052
220,Tarrant,0.037,0.04,0.037,0.035,0.033,0.073
221,Taylor,0.035,0.037,0.036,0.032,0.029,0.055
222,Terrell,0.049,0.042,0.048,0.034,0.034,0.046
223,Terry,0.05,0.048,0.051,0.041,0.036,0.073
224,Throckmorton,0.043,0.035,0.043,0.033,0.037,0.049
225,Titus,0.053,0.062,0.054,0.051,0.041,0.067
226,Tom Green,0.037,0.045,0.037,0.032,0.03,0.063
227,Travis,0.03,0.032,0.031,0.029,0.026,0.063
228,Trinity,0.055,0.061,0.056,0.052,0.048,0.081
229,Tyler,0.073,0.073,0.074,0.066,0.057,0.099
230,Upshur,0.052,0.064,0.053,0.042,0.037,0.077
231,Upton,0.038,0.053,0.037,0.034,0.03,0.056
232,Uvalde,0.047,0.053,0.047,0.043,0.038,0.064
233,Val Verde,0.051,0.063,0.051,0.039,0.033,0.079
234,Van Zandt,0.037,0.043,0.038,0.035,0.033,0.061
235,Victoria,0.048,0.054,0.049,0.039,0.035,0.083
236,Walker,0.046,0.053,0.047,0.042,0.039,0.072
237,Waller,0.049,0.056,0.049,0.043,0.037,0.078
238,Ward,0.041,0.057,0.041,0.026,0.024,0.094
239,Washington,0.042,0.051,0.042,0.036,0.034,0.056
240,Webb,0.042,0.049,0.042,0.038,0.037,0.085
241,Wharton,0.045,0.05,0.045,0.037,0.034,0.068
242,Wheeler,0.041,0.048,0.04,0.032,0.03,0.06
243,Wichita,0.037,0.044,0.037,0.034,0.032,0.067
244,Wilbarger,0.047,0.047,0.047,0.042,0.036,0.059
245,Willacy,0.11,0.123,0.111,0.099,0.082,0.12
246,Williamson,0.032,0.034,0.033,0.031,0.028,0.059
247,Wilson,0.035,0.039,0.035,0.031,0.028,0.057
248,Winkler,0.052,0.077,0.052,0.029,0.029,0.093
249,Wise,0.04,0.047,0.04,0.035,0.032,0.065
250,Wood,0.047,0.053,0.047,0.043,0.039,0.066
251,Yoakum,0.035,0.048,0.036,0.029,0.029,0.119
252,Young,0.038,0.044,0.038,0.032,0.03,0.053
253,Zapata,0.073,0.108,0.075,0.056,0.05,0.124
254,Zavala,0.111,0.139,0.113,0.097,0.084,0.141
