,county_name,2012_unemp,2016_unemp,2020_unemp,2012_var_state,2016_var_state,2020_var_state,median_income_2012_2016_16_dollars,median_income_2020_16_dollars
138,Lamar,0.037,0.046,0.065,-0.028,-0.002,-0.003,40283,39555
139,Lamb,0.042,0.065,0.052,-0.023,0.017,-0.016,41401,54460
140,Lampasas,0.052,0.042,0.054,-0.013,-0.006,-0.014,50358,38595
141,La Salle,0.037,0.051,0.068,-0.028,0.003,0.0,40094,43575
142,Lavaca,0.036,0.042,0.052,-0.029,-0.006,-0.016,47753,48733
143,Lee,0.033,0.038,0.049,-0.032,-0.01,-0.019,54346,54861
144,Leon,0.063,0.065,0.078,-0.002,0.017,0.01,47441,46780
145,Liberty,0.071,0.075,0.106,0.006,0.027,0.038,49655,49328
146,Limestone,0.055,0.056,0.071,-0.01,0.008,0.003,37431,40411
147,Lipscomb,0.032,0.044,0.042,-0.033,-0.004,-0.026,60163,60544
148,Live Oak,0.047,0.059,0.075,-0.018,0.011,0.007,50741,50151
149,Llano,0.037,0.042,0.057,-0.028,-0.006,-0.011,48562,51497
150,Loving,0.05,0.047,0.017,-0.015,-0.001,-0.051,56875,81932
151,Lubbock,0.032,0.034,0.057,-0.033,-0.014,-0.011,46859,50679
152,Lynn,0.038,0.04,0.054,-0.027,-0.008,-0.014,40722,42349
153,McCulloch,0.046,0.045,0.075,-0.019,-0.003,0.007,40784,50846
154,McLennan,0.057,0.04,0.062,-0.008,-0.008,-0.006,44246,45626
155,McMullen,0.032,0.021,0.028,-0.033,-0.027,-0.04,57589,37053
156,Madison,0.033,0.051,0.072,-0.032,0.003,0.004,43209,40057
157,Marion,0.072,0.07,0.082,0.007,0.022,0.014,35424,47294
158,Martin,0.093,0.044,0.061,0.028,-0.004,-0.007,63992,63286
159,Mason,0.036,0.036,0.056,-0.029,-0.012,-0.012,38496,42846
160,Matagorda,0.038,0.073,0.105,-0.027,0.025,0.037,41253,35070
