,Year,Reg Voters,Voted,Voted %,Early Vote,EV %,county
738,2012,"12,876","7,741",60.12%,354,   2.75%,montague
739,2016,"13,320","8,604",64.59%,"5,885",44.18%,montague
740,2020,"14,001","9,812",70.08%,"8,042",81.96%,montague
741,2012,"19,396","10,782",55.59%,"5,096",26.27%,fannin
742,2016,"20,565","12,021",58.45%,"7,073",34.39%,fannin
743,2020,"22,199","14,969",67.43%,"11,041",73.76%,fannin
744,2012,"7,679","4,066",52.95%,"2,390",31.12%,gaines
745,2016,"8,616","4,620",53.62%,"3,403",39.5%,gaines
746,2020,"9,701","5,960",61.44%,"5,217",87.53%,gaines
747,2012,"12,830","7,373",57.47%,"4,410",34.37%,gray
748,2016,"12,725","7,398",58.14%,"5,178",40.69%,gray
749,2020,"12,406","7,745",62.43%,"5,742",74.14%,gray
750,2012,"81,684","48,767",59.70%,"31,432",38.48%,johnson
751,2016,"91,725","57,572",62.77%,"43,206",47.1%,johnson
752,2020,"105,574","71,864",68.07%,"61,125",85.06%,johnson
753,2012,"2,000,011","1,185,722",59.29%,"757,640",37.88%,harris
754,2016,"2,234,671","1,304,480",58.37%,"953,593",42.67%,harris
755,2020,"2,480,522","1,633,557",65.86%,"1,434,022",87.79%,harris
756,2012,"3,106","1,534",49.39%,579,18.64%,dallam
757,2016,"3,151",766,43.47%,396,22.47%,dallam
758,2020,"3,046","1,605",52.69%,"1,029",64.11%,dallam
759,2012,"11,535","7,316",63.42%,"5,554",48.15%,young
760,2016,"11,762","7,689",65.37%,"5,455",46.38%,young
761,2020,"11,769","8,242",70.03%,"7,088",86.00%,young
